ID,Region,Country,City,Year,System_Type,GHI,Sunlight_Hours,Annual_Production_MWh,Total_Installations,Installation_Cost_USD,Avg_Price_per_kWh,Annual_Savings_USD,ROI_Percentage,CO2_Reduction_Tons,Sustainability_Score,Solar_Viability_Score,Reliability_Score,Risk_Level
519,Europe,UK,Berlin,2019,Commercial,3.55,9.14,9110.82,3652,428350.76,0.2337,2129198.63,497.07,4218.23,75.44,34.05,78.77,Low
520,North America,USA,New York,2018,Industrial,4.75,7.33,11947.84,2819,389468.14,0.1329,1587867.94,407.7,10067.38,88.77,43.97,72.04,Medium
521,Africa,Ghana,Casablanca,2023,Commercial,6.21,4.87,8050.86,570,425828.72,0.226,1819494.36,427.28,4919.32,59.77,59.1,95.43,Medium
522,Middle East,Kuwait,Muscat,2018,Commercial,5.9,6.65,10920.27,355,483379.2,0.1847,2016973.87,417.27,6654.24,58.11,58.54,90.78,Medium
523,South America,Venezuela,Buenos Aires,2018,Residential,4.42,8.56,8347.7,65,380563.78,0.2419,2019308.63,530.61,4722.77,87,41.25,67.19,Medium
524,Asia,Singapore,Tokyo,2020,Commercial,3.96,6.39,5391.07,2156,313558.88,0.2101,1132663.81,361.23,2274.77,51.48,36.58,66.79,High
525,Africa,Nigeria,Lagos,2019,Utility-Scale,4.28,5.64,5419.35,1732,95535.6,0.2213,1199302.16,1255.35,2539.63,82.74,46.65,73.2,Medium
526,Asia,South Korea,Singapore,2023,Utility-Scale,4.19,7.93,10494.12,1563,330441.7,0.1537,1612946.24,488.12,7928,55.92,45.73,65.1,Low
527,Asia,Singapore,Singapore,2019,Utility-Scale,5.22,8.63,15162.11,2304,393387.07,0.1798,2726147.38,692.99,12542.37,64.71,48.69,69.64,Low
528,South America,Colombia,Sao Paulo,2023,Utility-Scale,6.66,8.5,11801.13,3072,224652.13,0.23,2714259.9,1208.21,9152.58,68.71,66.79,66.98,High
529,Middle East,Qatar,Abu Dhabi,2024,Commercial,5.82,8.65,15828.15,3491,342381.77,0.1152,1823402.88,532.56,13413.44,72.6,55.54,68.53,Medium
530,Asia,Singapore,Bangkok,2024,Industrial,3.84,9.39,8298.95,3553,283469.32,0.1191,988404.95,348.68,3490.3,75.61,36.76,77.59,Medium
531,Middle East,Qatar,Doha,2018,Residential,5.03,5.67,6267.13,2274,340409.68,0.141,883665.33,259.59,2765.12,92.13,50.43,85.1,Low
532,North America,USA,Denver,2018,Industrial,5.68,6.67,11167.47,1139,162510.64,0.2067,2308316.05,1420.41,8757.99,92.27,53.71,83.56,High
533,Asia,Indonesia,Bangkok,2023,Commercial,4.89,10.98,18297.69,3266,419837.59,0.2088,3820557.67,910.01,7427.86,82.7,53.79,97.11,Low
534,South America,Colombia,Buenos Aires,2021,Utility-Scale,4.43,8.32,10096.94,3431,260932.25,0.2184,2205171.7,845.11,5758.59,54.29,47.76,76.72,Low
535,Africa,Kenya,Cairo,2020,Industrial,4.06,10.18,9586.56,3314,382012.28,0.165,1581782.4,414.07,6992.67,67.73,37.85,76.6,High
536,Africa,Morocco,Cairo,2018,Utility-Scale,6.64,10.49,14357.52,3133,478686.9,0.1361,1954058.47,408.21,10264.47,80.15,67.48,93.81,Low
537,Africa,Nigeria,Johannesburg,2019,Residential,5.4,6.64,12317.59,4952,337551.49,0.1318,1623458.36,480.95,5982.8,83.74,50.78,92.23,Medium
538,Europe,Spain,Berlin,2022,Commercial,4.64,6.01,8146.37,1296,81490.74,0.0898,731544.03,897.7,5370.62,58.59,50,76.02,Low
539,Middle East,UAE,Abu Dhabi,2022,Commercial,5.06,10.37,11286.85,2552,441702.08,0.1327,1497765,339.09,9130.48,83.24,47.19,82.43,High
540,South America,Colombia,Caracas,2023,Residential,4.6,4.55,4275.11,3779,78786.52,0.1479,632288.77,802.53,3436.26,76.29,50.1,94.29,Medium
541,North America,Canada,Phoenix,2023,Utility-Scale,4.89,9.98,15358,3549,225990.67,0.22,3378760,1495.09,12669.15,70.75,45.7,84.09,Medium
542,Europe,Spain,Berlin,2024,Utility-Scale,6.29,4.78,9938.15,1789,121069.5,0.23,2285774.5,1887.99,6647.32,83.33,58.57,88.33,Medium
543,Africa,Kenya,Cairo,2023,Industrial,3.81,5.18,6124.25,3793,196705.91,0.1567,959669.97,487.87,3223.7,75.3,37.72,62.85,Medium
544,Middle East,Kuwait,Riyadh,2024,Utility-Scale,3.65,6.13,6724.59,3595,111416.26,0.194,1304570.46,1170.9,4250.77,73.07,32.33,85.62,Low
545,Asia,China,Mumbai,2019,Commercial,6.85,8.45,12162.86,3619,105868.12,0.206,2505549.16,2366.67,5889.58,83.57,63.61,70.66,Medium
546,South America,Venezuela,Sao Paulo,2018,Residential,5.63,7.37,7805.62,3647,335655.69,0.1689,1318369.22,392.77,5708.02,83,52.33,86.92,Low
547,Middle East,Saudi Arabia,Riyadh,2023,Commercial,5,6.05,5914.95,801,239757.23,0.2482,1468090.59,612.32,3362.99,59.61,51.69,68.6,High
548,Europe,Spain,London,2019,Industrial,5.55,9.8,12773.79,877,332053.9,0.1862,2378479.7,716.29,11076.97,69.75,54.78,69.06,Medium
549,North America,Canada,Seattle,2023,Residential,3.55,5.88,4538.35,4915,346082.77,0.1273,577731.96,166.93,3231.1,52.2,39.35,76.03,Medium
550,Africa,Nigeria,Casablanca,2018,Utility-Scale,4.51,5.12,5429.67,2614,333893.27,0.1461,793274.79,237.58,4681.88,88.57,41.43,66.84,High
551,Asia,Singapore,Tokyo,2023,Commercial,7.15,7.42,14158.49,1026,383816.26,0.1656,2344645.94,610.88,10651.64,50.66,66.71,89.6,Medium
552,Middle East,Oman,Riyadh,2019,Industrial,3.82,5.39,5451.84,3645,140905.3,0.1439,784519.78,556.77,3930.88,61.9,40.45,98.55,High
553,Asia,South Korea,Singapore,2023,Residential,6.65,4.76,9958.43,1696,236702.03,0.2182,2172929.43,918,7720.53,61.45,68.83,73.37,High
554,Europe,Italy,Madrid,2019,Residential,6.99,7.89,11648.06,1682,333402.13,0.091,1059973.46,317.93,7522.56,97.68,65.42,98.69,Low
555,Africa,Nigeria,Casablanca,2020,Commercial,4.45,5.01,6760.77,3682,190158.34,0.2027,1370408.08,720.67,3532.25,58.82,41.99,71.13,High
556,Middle East,Qatar,Dubai,2024,Residential,5.09,5.59,7256.51,3134,277381.65,0.2049,1486858.9,536.03,5661.26,90.98,53.84,60.77,Medium
557,Asia,Singapore,Mumbai,2018,Residential,6.41,6.17,10236.28,1277,254121.4,0.1438,1471977.06,579.24,7196.23,53.6,60.47,78.3,Low
558,Africa,Ghana,Accra,2022,Utility-Scale,5,7.13,8937.08,328,227592.36,0.2062,1842825.9,809.7,5290.92,65.39,54.88,62.78,Low
559,Europe,Spain,Madrid,2019,Commercial,7.33,9.51,21454,3483,206860.41,0.2006,4303672.4,2080.47,15393.03,68.41,68.88,75.03,High
560,Middle East,Qatar,Dubai,2024,Residential,6.02,8.9,15996.79,1332,340400.09,0.1244,1990000.68,584.61,10041.75,84.05,57.74,83.48,Low
561,North America,Canada,Seattle,2022,Utility-Scale,6.32,10.83,13255.12,4377,459477.12,0.2289,3034096.97,660.34,6401.05,71.34,65.12,79.53,High
562,Asia,Indonesia,Seoul,2018,Industrial,7.01,9.23,12623.97,3270,336281.11,0.212,2676281.64,795.85,7223.39,57.14,72.59,96.27,High
563,Europe,UK,Vienna,2021,Residential,3.89,9.53,9306.21,3995,237579.05,0.129,1200501.09,505.31,5727.74,58.82,35.76,65.24,Low
564,Africa,Nigeria,Lagos,2018,Industrial,4.3,9.37,12794.82,1370,136348.17,0.2471,3161600.02,2318.77,10694.01,72.04,47.13,64.26,Low
565,Middle East,Qatar,Dubai,2022,Commercial,3.76,4.69,3878.03,352,268337.46,0.2093,811671.68,302.48,1569.65,63.3,42.15,85.95,Low
566,North America,Canada,Seattle,2020,Residential,7.23,7.58,13004.58,3274,243254.13,0.143,1859654.94,764.49,10989.86,99.97,75.47,96.7,Medium
567,Asia,Japan,Shanghai,2022,Utility-Scale,5.33,9.04,14613.36,2046,449586.75,0.1036,1513944.1,336.74,10243.3,93.45,51.09,87.27,Medium
568,South America,Colombia,Caracas,2019,Utility-Scale,5.56,8.79,8823.03,2676,337132.97,0.2401,2118409.5,628.36,4950.53,81.69,59.33,97.81,High
569,Africa,South Africa,Johannesburg,2023,Commercial,6.46,9.66,14927.99,3162,472588.14,0.2401,3584210.4,758.42,9524.97,82.92,66.59,63.92,Medium
570,Europe,Germany,London,2019,Commercial,5.49,5.07,8948.73,4439,498337.13,0.2478,2217495.29,444.98,5668.14,94.82,59.45,78.8,Low
571,Europe,UK,Berlin,2022,Commercial,5.24,9.15,9936.33,1018,468035.31,0.2335,2320133.06,495.72,7781.68,61.02,49.98,78.58,High
572,South America,Colombia,Caracas,2024,Utility-Scale,3.86,9,11402.71,3136,469300.98,0.2103,2397989.91,510.97,7985.77,82.2,37.37,87.98,High
573,Europe,France,Madrid,2020,Residential,3.96,5.07,3918.14,3124,383261.55,0.2393,937610.9,244.64,3026.01,55.81,38.28,93.28,High
574,North America,Canada,Houston,2019,Industrial,7.42,6.58,11817.95,4419,355685.98,0.2154,2545586.43,715.68,7798.38,80.08,71.42,75.42,Medium
575,Asia,Thailand,Delhi,2023,Utility-Scale,6.22,5.46,7749.16,1021,386176.97,0.2244,1738911.5,450.29,6306.85,51.72,60.4,79.59,Medium
576,Europe,France,Vienna,2023,Utility-Scale,6.32,6.95,15232.59,440,199915.05,0.2207,3361832.61,1681.63,7697.13,86.63,66.3,87.32,Low
577,Middle East,Saudi Arabia,Doha,2018,Utility-Scale,7.46,8.06,14271.87,1608,355054.41,0.2484,3545132.51,998.48,11115.75,69.55,74.88,71.04,High
578,Europe,Italy,Amsterdam,2023,Commercial,6.96,4.85,11439.16,1728,186833.3,0.1913,2188311.31,1171.26,7876.76,72.09,69.42,94.99,Low
579,South America,Peru,Sao Paulo,2019,Utility-Scale,6.4,8.24,15573.68,796,494817.88,0.1051,1636793.77,330.79,13630.07,71.36,67.42,96.11,Medium
580,North America,Canada,Los Angeles,2024,Residential,5.87,10.8,18168.36,3085,231797.3,0.0858,1558845.29,672.5,9455.32,74.43,60.58,97.23,High
581,Middle East,Kuwait,Muscat,2020,Utility-Scale,4.6,8.75,9758.41,4703,104000.17,0.094,917290.54,882.01,6290.36,83.44,46.1,60.9,High
582,South America,Brazil,Caracas,2024,Utility-Scale,6.68,5.68,9952.77,4413,340068.49,0.1537,1529740.75,449.83,6824.73,54.97,62.43,95.45,Low
583,South America,Colombia,Sao Paulo,2019,Residential,5.72,7.99,14536.84,1709,269853.47,0.1682,2445096.49,906.08,10064.74,85.69,60.1,64.84,High
584,Africa,Nigeria,Accra,2020,Industrial,3.52,7.41,6088.61,703,67614.42,0.1778,1082554.86,1601.07,4422.28,54.39,32.77,89.37,Low
585,Africa,South Africa,Lagos,2022,Industrial,7.41,8.78,14457.41,4027,70774.82,0.2408,3481344.33,4918.9,12322.19,64.67,74.44,65.45,High
586,Asia,South Korea,Delhi,2023,Commercial,3.9,9.83,8445.91,2951,134633.14,0.131,1106414.21,821.8,6894.51,97.87,40.02,68.43,Medium
587,Africa,Egypt,Johannesburg,2023,Industrial,5.7,6.19,10248.33,1679,123493.72,0.1575,1614111.98,1307.04,8940.34,83.83,61.4,65.59,Low
588,South America,Argentina,Caracas,2020,Residential,6.36,8.16,15056.59,4954,280142.35,0.1079,1624606.06,579.92,12207.64,65.82,66.48,74.78,Low
589,North America,Canada,Los Angeles,2024,Residential,3.76,8.66,7869.47,1830,200082.81,0.1265,995487.96,497.54,6566.5,61.29,32.7,74.71,Medium
590,North America,Canada,Chicago,2020,Commercial,5.86,9.74,11200.78,2615,207005.1,0.1773,1985898.29,959.35,6059.6,63.55,54.59,61.87,Medium
591,South America,Chile,Caracas,2018,Industrial,5.71,10.23,14512.83,4659,316539.56,0.124,1799590.92,568.52,10787.81,85.66,58.68,65.56,High
592,South America,Peru,Caracas,2020,Commercial,6.33,6.12,10981.88,3514,368054.04,0.1111,1220086.87,331.5,9808.17,89.92,63.32,70.76,High
593,South America,Peru,Sao Paulo,2021,Residential,5.13,6.53,6543.14,4549,85763.69,0.2041,1335454.87,1557.13,5708.45,58.26,46.87,88.99,Medium
594,South America,Venezuela,Santiago,2023,Utility-Scale,4.05,7.74,9293.47,69,354548.37,0.1705,1584536.64,446.92,4296.8,50.7,37.4,92.42,High
595,Africa,Kenya,Accra,2018,Commercial,4.48,9.3,14234.41,4298,420513.53,0.2297,3269643.98,777.54,9452.44,80.46,45.87,97.62,Low
596,Asia,Singapore,Mumbai,2021,Industrial,4.91,4.83,6266.44,975,126717.78,0.2449,1534651.16,1211.08,3565.47,83.95,52.42,93.18,Medium
597,Asia,China,Bangkok,2018,Industrial,3.51,8.6,7453.4,4009,465375.36,0.2379,1773163.86,381.02,6555.77,75.78,39.03,96.48,Low
598,Africa,Kenya,Johannesburg,2021,Residential,4.69,5.2,5839.77,1269,375095.12,0.1484,866621.87,231.04,2361.79,71.54,43.88,80.63,Medium
599,North America,Canada,Chicago,2023,Industrial,4.4,7.07,7182.17,1335,242753.66,0.111,797220.87,328.41,5787.19,55.43,43.39,92.73,Low
600,Middle East,Qatar,Dubai,2018,Industrial,7.03,9.11,12732.65,3936,178204.89,0.1027,1307643.16,733.79,7773.64,66.56,65.62,85.98,High
601,Middle East,Oman,Abu Dhabi,2024,Residential,5.48,8.93,9868.7,1086,387990.46,0.2127,2099072.49,541.01,5920.61,86.3,57.22,92.2,Low
602,North America,USA,Chicago,2024,Residential,4.88,4.59,6638.1,2321,73417.93,0.2211,1467683.91,1999.08,4081.32,79.85,43.88,78.73,Medium
603,Middle East,Oman,Riyadh,2019,Commercial,4.11,7.82,7148.28,854,395027.42,0.2269,1621944.73,410.59,6412.93,62.37,44.31,67.74,High
604,Africa,Ghana,Accra,2023,Industrial,4.09,5.28,5360.32,3125,173237.74,0.1127,604108.06,348.72,2535.99,50.88,37.9,93.71,Medium
605,South America,Argentina,Buenos Aires,2018,Commercial,4.84,7.61,9822.35,2630,339742.92,0.1317,1293603.5,380.76,5251.25,64.03,46.91,76.3,Low
606,North America,Canada,New York,2020,Commercial,4.35,7.57,11013.01,121,95342.76,0.1114,1226849.31,1286.78,9627.18,68.18,41.54,63.78,High
607,Asia,South Korea,Singapore,2019,Commercial,6.62,7.94,12781.73,995,342611.75,0.1157,1478846.16,431.64,7567.1,94.36,62.5,88.96,Low
608,South America,Brazil,Bogota,2024,Industrial,3.8,8.05,7289.37,4519,376407.8,0.2482,1809221.63,480.65,3651.97,86.04,33.44,67.48,High
609,Africa,Kenya,Nairobi,2022,Residential,5.29,9.16,16225.35,1066,80468.82,0.1512,2453272.92,3048.72,14045.74,75.19,48.12,83.37,Medium
610,North America,Canada,Houston,2019,Residential,5.48,7.96,11659.53,1705,83743.49,0.1544,1800231.43,2149.7,7632.79,78.12,53.7,83.68,Low
611,Africa,Morocco,Lagos,2019,Commercial,6.29,10.21,20191.69,4533,254948.44,0.2003,4044395.51,1586.36,13377.73,65.17,60.1,87.62,Low
612,North America,Canada,Houston,2023,Residential,3.66,5.46,6598.83,4389,467261.58,0.126,831452.58,177.94,5248.12,82.12,34.09,92.11,Low
613,Asia,India,Singapore,2019,Industrial,3.83,9.09,9517.53,2922,374935.82,0.1494,1421918.98,379.24,6716.91,66.23,33.87,91.82,Low
614,Asia,Singapore,Tokyo,2024,Commercial,6.13,10.14,21110.97,4960,312467.55,0.2028,4281304.72,1370.16,15707.78,97.28,58.87,84.42,High
615,Middle East,Qatar,Riyadh,2021,Commercial,4.58,8.28,12033.33,777,388803.96,0.1065,1281549.65,329.61,6207.53,86.31,44.49,95.18,Medium
616,Europe,Germany,Paris,2019,Utility-Scale,5.78,10.63,12943.81,1185,176919.91,0.1327,1717643.59,970.86,10906.8,90.87,59.67,67.33,Low
617,Middle East,Kuwait,Muscat,2024,Commercial,3.9,7.92,9376.05,368,413596.73,0.1826,1712066.73,413.95,5521.91,51.04,42.27,89.77,Low
618,North America,USA,Phoenix,2024,Utility-Scale,7.25,8.4,19165.72,1150,54228.28,0.2146,4112963.51,7584.54,12863.75,90.91,76.03,63.31,Medium
619,Europe,France,Rome,2019,Residential,5.42,6.08,8976.54,3412,170355.49,0.1724,1547555.5,908.43,3685.8,52.23,54.65,64,Low
620,North America,Canada,Houston,2020,Residential,5.04,6.8,7840.19,912,464760.91,0.1964,1539813.32,331.31,5828.27,85.74,54.42,79.18,Low
621,Asia,Singapore,Shanghai,2022,Industrial,4.83,6.84,11140.12,3493,88161.94,0.0874,973646.49,1104.38,5297.7,71.43,46.65,67.07,Low
622,Asia,Japan,Singapore,2021,Commercial,4.58,7.75,8616.38,1210,169430.44,0.2342,2017956.2,1191.02,6887.43,89.44,49.42,98.14,Medium
623,Middle East,Kuwait,Muscat,2023,Utility-Scale,6.76,5.24,8950.07,4058,377018.48,0.1046,936177.32,248.31,5025.7,56.38,70.28,73.75,Medium
624,Middle East,Qatar,Kuwait City,2022,Utility-Scale,4.05,10.64,14507.91,694,222433.34,0.1734,2515671.59,1130.98,9711.21,74.63,40.86,68.97,High
625,Africa,Ghana,Accra,2020,Commercial,4.38,5.07,5362.69,2871,141475.85,0.2246,1204460.17,851.35,3116.79,73.7,40.14,64.3,Medium
626,Middle East,Oman,Riyadh,2020,Utility-Scale,7.39,10.43,17051.48,225,422519.81,0.0895,1526107.46,361.19,7995.45,98.1,75.94,74.72,High
627,North America,USA,Los Angeles,2023,Commercial,5.41,8.36,9357.11,1504,116099,0.104,973139.44,838.2,4889.3,50.62,57.41,76.24,Medium
628,Africa,Kenya,Accra,2018,Commercial,5.38,9.2,12645.02,1431,340181.22,0.0822,1039420.64,305.55,5761.49,53,55.22,83.56,High
629,Middle East,Kuwait,Abu Dhabi,2021,Commercial,5.72,9.89,19022.24,1035,275842.6,0.2006,3815861.34,1383.35,11638.47,57.84,61.93,80.34,High
630,Africa,Nigeria,Cairo,2024,Residential,5.07,9.85,17274.96,3126,322287.53,0.0931,1608298.78,499.03,12890.8,73.87,52.23,75.8,Low
631,Asia,China,Seoul,2022,Commercial,4.58,5.18,5733.22,99,400458.77,0.137,785451.14,196.14,2979.93,58.14,41.86,68.26,Medium
632,Europe,Germany,London,2022,Utility-Scale,4.58,10.85,13716.04,2931,303682.69,0.2143,2939347.37,967.9,5799.69,65.73,50.24,60.33,Medium
633,Europe,Spain,Amsterdam,2022,Utility-Scale,6.4,10.83,20755.59,4820,93820.93,0.1492,3096734.03,3300.69,15996.87,55.05,67.07,65.86,Medium
634,North America,USA,Phoenix,2021,Industrial,4.11,7.51,10200.77,1329,91980.89,0.2021,2061575.62,2241.31,8591.1,90.37,42.64,89.98,High
635,Europe,France,Amsterdam,2018,Utility-Scale,4.94,10.06,12585.77,1258,450805.97,0.2116,2663148.93,590.75,7473.65,60.44,50.5,62.92,High
636,North America,Canada,Chicago,2018,Residential,5.69,10.8,19225,2986,89225.46,0.096,1845600,2068.47,10705.62,96.7,53.51,70.92,Medium
637,Europe,France,Vienna,2024,Utility-Scale,7.44,10.86,25026.08,2358,248920.42,0.2371,5933683.57,2383.77,21770.56,98.58,74.28,74.18,Medium
638,Africa,Nigeria,Accra,2023,Residential,5.26,7.83,11786.86,359,191140.43,0.0942,1110322.21,580.89,7149.88,72.5,56.37,98.66,High
639,Europe,Germany,London,2018,Residential,6.91,6.39,9135.43,4393,229676.19,0.0924,844113.73,367.52,5427.46,73.11,65.04,78.17,Medium
640,Europe,Spain,Berlin,2021,Commercial,6.57,5.8,8988.54,323,192778.19,0.2494,2241741.88,1162.86,5780.96,85.11,65.46,70.86,High
641,Europe,France,Madrid,2020,Utility-Scale,5.77,10.92,19634.36,197,78080.12,0.2175,4270473.3,5469.35,15604.99,98.93,54.83,68.25,High
642,Asia,Japan,Mumbai,2020,Utility-Scale,4.07,6.28,4955.76,450,443199.15,0.1567,776567.59,175.22,3022.32,60.71,44.63,67.18,Low
643,Asia,China,Mumbai,2018,Commercial,4.9,7.22,9227.82,91,359973.72,0.1073,990145.09,275.06,6905.59,67.73,50.93,75.18,High
644,South America,Chile,Caracas,2018,Industrial,5.97,6.6,13699.39,1218,472536.08,0.2063,2826184.16,598.09,10526.06,65.83,56.21,77.89,Medium
645,South America,Peru,Bogota,2022,Commercial,5.58,4.52,6471.74,1547,424629.87,0.1014,656234.44,154.54,4042.67,98.47,51.77,68.53,Medium
646,Middle East,Qatar,Riyadh,2023,Utility-Scale,4.34,5.74,7362.29,1031,479797,0.1429,1052071.24,219.27,4284.1,65.1,41.47,91.94,High
647,Middle East,Kuwait,Abu Dhabi,2021,Utility-Scale,4.91,9.88,12243.85,1342,488331.57,0.1371,1678631.84,343.75,10568.58,72.94,47.83,81.56,High
648,Asia,South Korea,Seoul,2023,Utility-Scale,4.63,8.53,13320.23,3379,435648.77,0.2492,3319401.32,761.94,10695.74,55.19,47.8,84.03,Low
649,Africa,Egypt,Casablanca,2024,Industrial,6.03,7.77,14852.34,3856,350469.56,0.2248,3338806.03,952.67,7514.33,88.84,60.82,64.47,Low
650,Middle East,Kuwait,Abu Dhabi,2018,Utility-Scale,3.53,6.94,5342.3,1988,177621.99,0.2295,1226057.85,690.26,2843.44,91.92,38.25,76.17,Low
651,North America,USA,New York,2024,Utility-Scale,6.66,9.97,17810.11,3216,383560.44,0.134,2386554.74,622.21,8641.56,78.61,65.9,81.67,Low
652,North America,USA,Seattle,2024,Utility-Scale,7.26,7.04,15526.27,979,231403.56,0.1341,2082072.81,899.76,7440.53,61.55,74.7,64.93,High
653,South America,Chile,Lima,2018,Utility-Scale,4.14,6.6,5351.49,655,61538.1,0.082,438822.18,713.09,4201.01,57.65,42.58,81.2,High
654,South America,Argentina,Caracas,2020,Residential,7.43,8.62,19994.72,3107,133949.83,0.1909,3816992.05,2849.57,10214.85,59.69,77.7,88.33,Medium
655,North America,USA,Chicago,2021,Commercial,6.05,8.27,9885.68,4058,256607.48,0.1813,1792273.78,698.45,4483.53,64.12,64.45,63.62,Medium
656,North America,USA,Miami,2023,Commercial,5.15,7.66,11296.86,2457,144633.19,0.1514,1710344.6,1182.54,9544.23,81.68,51.01,66.28,Low
657,Africa,Morocco,Accra,2022,Residential,6.92,5.26,8673.12,1006,206052.68,0.2491,2160474.19,1048.51,6071.15,50.25,69.42,69.93,Low
658,North America,USA,Chicago,2021,Industrial,6.97,5.25,7936.28,763,197392.88,0.1174,931719.27,472.01,6062.3,96.99,67.38,78.78,Medium
659,South America,Colombia,Bogota,2024,Commercial,5.55,7.1,8386.14,4823,127831.78,0.1968,1650392.35,1291.07,7075.03,64.05,54.43,82.76,Medium
660,Europe,Spain,Vienna,2018,Commercial,7.03,7.25,15647.2,536,417151.49,0.1859,2908814.48,697.3,11010.12,71.47,70.97,74.58,Medium
661,Africa,Morocco,Nairobi,2018,Commercial,5.14,8.43,14261.39,1533,477670.14,0.1702,2427288.58,508.15,8544.76,55.73,54.49,76.75,Medium
662,Europe,France,Amsterdam,2022,Industrial,4.08,6.54,4846.67,552,359731.59,0.2019,978542.67,272.02,2456.71,78.37,39.02,69.07,Medium
663,Europe,UK,Madrid,2018,Commercial,5.74,9.16,17922.19,2632,413341.92,0.1941,3478697.08,841.6,12312.08,82.31,59.22,76.97,Low
664,Middle East,UAE,Abu Dhabi,2020,Utility-Scale,7.46,7.24,10861.26,4726,127012.88,0.1356,1472786.86,1159.56,6423.66,78.82,72.45,85.1,Low
665,Europe,UK,Stockholm,2022,Residential,7.08,10.47,13835.95,2842,340149.05,0.0918,1270140.21,373.41,6192.42,90.13,73.03,70.71,Medium
666,Asia,Singapore,Jakarta,2019,Residential,3.69,6.44,8252.49,1845,272001.48,0.189,1559720.61,573.42,7057.83,92.15,41.28,64.01,Low
667,North America,Canada,Denver,2020,Residential,4.41,5.07,6776.88,362,415526.9,0.2187,1482103.66,356.68,4532.24,50.25,45.98,62.05,Low
668,North America,Canada,Phoenix,2023,Utility-Scale,6.25,9.65,14747.89,4795,364399.17,0.2372,3498199.51,959.99,10201.51,56,60.69,65.77,Medium
669,North America,Canada,Houston,2023,Commercial,6.15,10.85,15662.61,1995,378889.06,0.1184,1854453.02,489.44,8331.04,64.81,57.33,81.78,High
670,North America,Canada,Los Angeles,2023,Utility-Scale,3.74,4.59,3720.74,2577,418330.15,0.1119,416350.81,99.53,1682.77,60.43,38.31,80.58,Medium
671,Europe,Germany,Berlin,2019,Residential,4.38,6.86,10389.01,2526,440536.45,0.1673,1738081.37,394.54,8207.43,59.4,41.58,66.4,High
672,Middle East,UAE,Dubai,2021,Commercial,4.46,10.31,9738.89,3544,62863.81,0.1925,1874736.32,2982.22,6099.67,63.28,48.87,63.28,Low
673,Africa,Morocco,Johannesburg,2022,Utility-Scale,4.83,7.37,8645.21,2270,72110.48,0.145,1253555.45,1738.38,7469.55,59.7,45.19,66.89,High
674,Middle East,UAE,Dubai,2018,Utility-Scale,6.09,10.73,14201.49,3324,73912,0.0861,1222748.29,1654.33,7570.66,53.29,56.91,68.83,Medium
675,Europe,Spain,Rome,2024,Industrial,4.32,9.61,9926.19,3915,179596.65,0.1814,1800610.87,1002.59,7612.8,54.71,43.23,87.32,High
676,South America,Argentina,Buenos Aires,2023,Commercial,4.76,4.95,4991.58,2171,454941.15,0.1041,519623.48,114.22,2028.42,73.73,45.94,66.92,Low
677,North America,Canada,Denver,2018,Residential,5.83,7.67,9930.41,1380,99223.7,0.2192,2176745.87,2193.78,6788.76,99.52,61.65,80.49,Low
678,Asia,Thailand,Singapore,2018,Utility-Scale,5.46,6.78,10097.68,4252,348533.83,0.1231,1243024.41,356.64,6355.23,91.39,52.61,73.02,High
679,Asia,China,Tokyo,2023,Utility-Scale,7.41,10.07,21795.55,741,113734.91,0.1646,3587547.53,3154.31,11381.29,87.05,78.83,74.02,Low
680,North America,Canada,Phoenix,2024,Industrial,7.45,10.19,15922.66,1571,459647.3,0.1393,2218026.54,482.55,9005.82,79.46,78.95,70.77,Low
681,Africa,South Africa,Cairo,2020,Commercial,6.68,8.18,17197.57,4295,206149.02,0.0987,1697400.16,823.39,6950.7,96.36,63.27,86.56,Medium
682,Middle East,UAE,Doha,2019,Industrial,6.7,4.6,5762.17,15,177357.78,0.1808,1041800.34,587.4,2458.12,65.29,66.3,85.75,Low
683,Asia,Indonesia,Bangkok,2018,Commercial,6.94,8.82,19018.84,671,119766.66,0.0946,1799182.26,1502.24,10181.44,99.8,66.37,82.82,Medium
684,Middle East,Saudi Arabia,Doha,2023,Commercial,6.75,8.64,14687.06,2651,485108.07,0.0967,1420238.7,292.77,7793.4,65.1,65.61,81.99,High
685,Europe,Germany,Rome,2023,Utility-Scale,5.17,5.8,6952.23,796,183800.37,0.2376,1651849.85,898.72,4383.92,59.17,54.52,92.52,Low
686,Asia,Thailand,Singapore,2019,Industrial,4.92,7.53,12723.85,2487,257577.79,0.2351,2991377.14,1161.35,5257.64,88.34,45.08,65.48,Low
687,Africa,Morocco,Casablanca,2024,Industrial,7.01,4.85,11004.23,703,106671.13,0.1939,2133720.2,2000.28,6948.11,88.15,70.28,92.73,Low
688,South America,Peru,Sao Paulo,2022,Commercial,5.88,9.84,15976.39,1689,360766.81,0.2269,3625042.89,1004.82,7360.66,79.23,58.91,87.96,High
689,South America,Argentina,Bogota,2019,Residential,4.39,8.89,12679.26,949,185401.49,0.1329,1685073.65,908.88,11342.6,50.32,43.75,86.82,Low
690,Africa,Morocco,Cairo,2024,Industrial,3.89,5.83,5908.62,1934,424726.9,0.1554,918199.55,216.19,2527.86,56.09,37.95,98.33,High
691,Africa,South Africa,Accra,2021,Utility-Scale,6.94,8.51,14971.57,4488,336288.72,0.1114,1667832.9,495.95,12116.12,82.87,66.11,88.92,Low
